title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 1 pièces - Cocody 2 Plateaux 7éme Tranche,150 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",40 m2,Appartements,1,1,2024-08-26 09:55:54,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-1-pieces-cocody-2-plateaux-7eme-tranche-4836182,En location un studio spacieux au 2eme étage a louer a cocody 2 plateau 7ème tranche. composé de: -chambre autonome -cuisine -parking interne loyer:150.000f + 20.000f de charge visite possible sur rendez-vous```
Location appartement meublé haut standing - 2 Plateaux Vallon,2 200 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",210 m2 m2,Appartements,4,4,2024-08-26 09:56:07,Seydou Tessougue,https://ci.coinafrique.com/annonce/appartements/location-appartement-meuble-haut-standing-2-plateaux-vallon-4831797,"Deux plateaux_vallon   résidence drey  un appartement f4 meublé disponible dans une résidence haut standing avec une piscine olympique, un ascenseur, une chambre de service, grand jardin, un parking souterrain, un groupe électrogène, des caméras de surveillance et sécurisé h24. 01 vaste séjour lumineux. 02 chambres autonome. 01 principale avec deux rangements. 01 chambre du personnel  01 cuisine équipée. 01 buanderie. 01 balcon  02 machine (laver et a sécher). des toilettes visiteurs. 01 espace de jeux enfants   loyer : 2 200 000fr   nb: l’eau et le gaz butane compris dans le loyer."
Location appartement 3pièces - 2 Plateaux Sanon,425 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,3,3,2024-08-26 09:56:17,SAS EMPIRE,https://ci.coinafrique.com/annonce/appartements/location-appartement-3pieces-2-plateaux-sanon-4864899,Belles 3 pièces nouvelles constructions a louer au 2 plateaux sanon avec ascenseur et toutes les commodités  les chambres sont autonomes et balcons  loyer: 425 000 conditions : 5 mois  sas empire immobilier :
Location appartement 3 pièces - Au Plateaux,800 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",90 m2 m2,Appartements,3,3,2024-08-26 09:56:30,Diarrassouba Vakantie,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-au-plateaux-4830568,À louer  au plateaux avenue marchand immeuble borg 1 apparemment de 3 pièces au 3ème étage avec ascenseur.  loyer : 800.000 f cfa.
Location appartement 4 pièces - 2 Plateaux opera,700 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,4,2024-08-26 09:56:40,SAS EMPIRE,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-2-plateaux-opera-4840618,"Ii plateaux  bel appartement de 4 pièces disponible pour location à cocody ii plateaux opéra dans un immeuble sécurisé au 2ème étage.  parking interne, chambres autonomes et spacieuses, séjour lumineux, aéré et spacieux, balcon spacieux, grande baie vitrée, cuisine, buanderie, toilette visiteurs, vidéosurveillance...  ps : visite possible sur rdv ferme  avec les frais.  loyer:  700.000   sas empire :"
Location appartement 3 pièces -2 Plateaux,425 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,3,3,2024-08-26 09:56:52,SAS EMPIRE,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-2-plateaux-4853018,Des appartements 3 pièces nouvelles constructions a louer au 2 plateaux les perles avec ascenseur avec toutes les commodités   loyer: 425 000
Location appartement 4 pièces - 2 Plateaux,1 000 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,4,2024-08-26 09:57:03,SAS EMPIRE,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-2-plateaux-4832440,"Location  appartement  2plateaux polyclinique  à louer,  un appartement de 4 pièces totalement rénovée au rez de jardin aux 2plateaux polyclinique (...) loyer: 1,000,000 xof visite sur rdv"
Location appartement 3 pièces - Cocody Danga,1 800 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",150 m2 m2,Appartements,3,3,2024-08-26 09:57:15,Diarrassouba Vakantie,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-danga-4826703,"À louer   à cocody danga-corniche,  un appartement de 150m2 comprenant 03 pièces avec vue sur la baie de cocody.  il dispose de 02 chambres autonomes, un séjour/salle à manger, une cuisine, un wc visiteur, une buanderie et un balcon avec vue sur la lagune. les espaces communs comprennent un accès sécurisé, un parking intérieur, une piscine, un pool house, des espaces verts, une conciergerie et un ascenseur. le loyer mensuel est de 1 800 000 fcfa, charges locatives incluses. pour plus d'informations, contactez le  nb: situé a 7min du plateau"
Location appartements 3 pièces - Cocody,400 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,3,1,2024-08-26 09:57:26,Clémence Zile Miracle,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cocody-4825417,"Location  2 plateaux roi du pain non loin de sococe sur l'axe du vallon , un très bon et spacieux appartement 3 pièces au premier avec :   -1 spacieux salon  -1 grande cuisine -2 chambres autonomes -1 salle d'eau visiteur -1 balcon -1 parking interne -1 accès facile  400.000 fcfa / mois  5  mois"
Location appartement 3 pièces - 2 Plateaux Perles,425 000 CFA,"Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,3,3,2024-08-26 09:57:36,homan kobenan,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-2-plateaux-perles-4868961,"Location rapide  apparts  iiplateaux les perles    des apparts neufs 3 pièces et 04pièces de bon standing dans un bel immeuble situé aux 2plateaux les perles.  ascenseur  2 & 3 chambres autonomes avec balcons  01 séjour lumineux, parking interne et externe  splits et chauffe-eau,  sécurité h24   -loyer 03pieces : 425 000fr   -loyer 04pieces au  rdc :625 000fr   visite sur rdv ferme avec les honoraires."
Location appartement 3 pièces - Cocody 2 plateaux 9eme tranche cgk,500 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",110 m2,Appartements,3,2,2024-08-26 09:57:51,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-2-plateaux-9eme-tranche-cgk-4824597,En location*   ☑️```un  appartement de standing 3pièces à louer au 2plateaux 9eme tranche non loin de cgk. composé de: -02 chambres autonomes avec placard -01 séjour spacieux avec coin à manger. -01 cuisine  -01 wc visiteur -01 ascenseur  -parking interne -résidence sécurisée -acces bitumé -chauffe eau/splits installés ☑️loyer:500k visite possible sur rendez vous```
Location aappartement 3pièces -Plateaux,1 300 000 CFA,"Abidjan, Côte d'Ivoire",250 m2 m2,Appartements,3,3,2024-08-26 09:58:00,homan kobenan,https://ci.coinafrique.com/annonce/appartements/location-aappartement-3pieces-plateaux-4859393,"Abidjan plateaux indenié  bel appartement marbré au rez-de-chaussée 3 pièces avec cour arrière ( 2 chambres+1 grand séjour) avec salle à manger)+ 1e cour arrière.  dans un bel immeuble sécurisé avec parking interne, 2 courts de tennis ,piscine, ascenseur, climatisation.  à abidjan plateau indénié.   habitation ou bureaux   loyers mensuels : sans les meubles  1 300 000 fcfa.   avec des meubles 1 500 000  visite à tout moment avec les honoraires."
